blind_id,task,repeat,condition,round,source,brief_intent_alignment,clarity_information_hierarchy,visual_system_craft,expressiveness_distinctiveness,overall
TG01_I001,ab000001,2,AXES,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/AXES/problems/ab000001/candidates/r4.png,76,74,75,71,75
TG01_I002,ab000001,2,CEN_MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/CEN_MAD/problems/ab000001/candidates/r1.png,83,81,82,78,82
TG01_I003,ab000001,2,SELF,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/SELF/problems/ab000001/candidates/r5.png,72,70,71,67,71
TG01_I004,ab000001,2,MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/MAD/problems/ab000001/candidates/r3.png,79,77,78,74,78
TG01_I005,ab000001,0,AXES,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/AXES/problems/ab000001/candidates/r1.png,20,18,19,15,19
TG01_I006,ab000001,1,FUSED,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/FUSED/problems/ab000001/candidates/r4.png,75,73,74,70,74
TG01_I007,ab000001,2,FUSED,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/FUSED/problems/ab000001/candidates/r5.png,82,80,81,77,81
TG01_I008,ab000001,0,FUSED,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/FUSED/problems/ab000001/candidates/r1.png,71,69,70,66,70
TG01_I009,ab000001,0,SELF,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/SELF/problems/ab000001/candidates/r4.png,78,76,77,73,77
TG01_I010,ab000001,1,AXES,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/AXES/problems/ab000001/candidates/r4.png,85,83,84,80,84
TG01_I011,ab000001,0,AXES,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/AXES/problems/ab000001/candidates/r5.png,74,72,73,69,73
TG01_I012,ab000001,1,AXES,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/AXES/problems/ab000001/candidates/r2.png,81,79,80,76,80
TG01_I013,ab000001,2,SELF,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/SELF/problems/ab000001/candidates/r3.png,70,68,69,65,69
TG01_I014,ab000001,1,MAD,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/MAD/problems/ab000001/candidates/r1.png,77,75,76,72,76
TG01_I015,ab000001,0,AXES,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/AXES/problems/ab000001/candidates/r4.png,84,82,83,79,83
TG01_I016,ab000001,2,CEN_MAD,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/CEN_MAD/problems/ab000001/candidates/r5.png,73,71,72,68,72
TG01_I017,ab000001,0,CEN_MAD,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/CEN_MAD/problems/ab000001/candidates/r3.png,80,78,79,75,79
TG01_I018,ab000001,1,MAD,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/MAD/problems/ab000001/candidates/r5.png,69,67,68,64,68
TG01_I019,ab000001,2,FUSED,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/FUSED/problems/ab000001/candidates/r1.png,76,74,75,71,75
TG01_I020,ab000001,2,AXES,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/AXES/problems/ab000001/candidates/r3.png,83,81,82,78,82
TG01_I021,ab000001,1,FUSED,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/FUSED/problems/ab000001/candidates/r1.png,72,70,71,67,71
TG01_I022,ab000001,0,FUSED,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/FUSED/problems/ab000001/candidates/r2.png,79,77,78,74,78
TG01_I023,ab000001,2,FUSED,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/FUSED/problems/ab000001/candidates/r2.png,86,84,85,81,85
TG01_I024,ab000001,1,FUSED,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/FUSED/problems/ab000001/candidates/r5.png,75,73,74,70,74
TG01_I025,ab000001,1,FUSED,3,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/FUSED/problems/ab000001/candidates/r3.png,42,40,41,37,41
TG01_I026,ab000001,1,CEN_MAD,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/CEN_MAD/problems/ab000001/candidates/r2.png,71,69,70,66,70
TG01_I027,ab000001,1,AXES,1,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/AXES/problems/ab000001/candidates/r1.png,78,76,77,73,77
TG01_I028,ab000001,0,SELF,2,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_0/shards/a/SELF/problems/ab000001/candidates/r2.png,50,48,49,45,49
TG01_I029,ab000001,1,CEN_MAD,4,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_1/shards/a/CEN_MAD/problems/ab000001/candidates/r4.png,74,72,73,69,73
TG01_I030,ab000001,2,MAD,5,results_b200_2/intent4_qwen36_27b_3seed_5r/repeat_2/shards/a/MAD/problems/ab000001/candidates/r5.png,81,79,80,76,80
